"formulaRank"	"molecularFormula"	"adduct"	"precursorFormula"	"NPC#pathway"	"NPC#pathway Probability"	"NPC#superclass"	"NPC#superclass Probability"	"NPC#class"	"NPC#class Probability"	"ClassyFire#superclass"	"ClassyFire#superclass probability"	"ClassyFire#class"	"ClassyFire#class Probability"	"ClassyFire#subclass"	"ClassyFire#subclass Probability"	"ClassyFire#level 5"	"ClassyFire#level 5 Probability"	"ClassyFire#most specific class"	"ClassyFire#most specific class Probability"	"ClassyFire#all classifications"	"ionMass"	"retentionTimeInSeconds"	"retentionTimeInMinutes"	"formulaId"	"alignedFeatureId"	"mappingFeatureId"	"overallFeatureQuality"
1	"C6H8O4"	"[M + H3N + H]+"	"C6H12NO4+"	"Fatty acids"	0.983	"Fatty Acids and Conjugates"	0.975	"Dicarboxylic acids"	0.985	"Lipids and lipid-like molecules"	0.934	"Fatty Acyls"	0.909	"Fatty acids and conjugates"	0.861	"Branched fatty acids"	0.625	"Branched fatty acids"	0.625	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	162.076	79	1.317	"673151902321981543"	"673150992590002701"	"120"	
1	"C46H34O30"	"[M + H]+"	"C46H35O30+"	"Shikimates and Phenylpropanoids"	1.000	"Phenolic acids (C6-C1)"	1.000	"Gallotannins"	1.000	"Phenylpropanoids and polyketides"	0.997	"Tannins"	1.000	"Hydrolyzable tannins"	0.999			"Hydrolyzable tannins"	0.999	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lactones; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Coumarins and derivatives; Benzoic acids and derivatives; Ellagic acids and derivatives; Tannins; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Hemiacetals; Carboxylic acid derivatives; Carboxylic acid esters; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Monosaccharides; Hydrolyzable tannins; Isocoumarins and derivatives; Oxanes; Benzene and substituted derivatives; Polyols; Benzenoids; Diarylethers; 7,8-dihydroxycoumarins; Hydroxycoumarins; Tetracarboxylic acids and derivatives; 1-benzopyrans; 2-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	1067.120	79	1.317	"673153092183154585"	"673150992539671048"	"119"	
6	"C7H10NSi"	"[M + H]+"	"C7H11NSi+"	"Alkaloids"	0.936	"Nicotinic acid alkaloids"	0.637	"Pyridine alkaloids"	0.638	"Organic nitrogen compounds"	0.975	"Organonitrogen compounds"	0.961					"Organonitrogen compounds"	0.961	"Organic compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	137.065	79	1.319	"673151925952695392"	"673150992346733049"	"116"	
2	"C30H26O14"	"[M + H]+"	"C30H27O14+"	"Shikimates and Phenylpropanoids"	0.999	"Flavonoids"	0.993	"Proanthocyanins"	0.866	"Phenylpropanoids and polyketides"	0.991	"Flavonoids"	0.998	"Flavans"	0.998	"Flavan-3-ols"	0.998	"Catechins"	0.989	"Organic compounds; Organoheterocyclic compounds; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Ethers; Phenylpropanoids and polyketides; Organooxygen compounds; Flavonoids; Flavans; Benzenediols; Catechins; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; Flavan-3-ols; 1-benzopyrans; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	611.139	79	1.320	"673152059943946581"	"673150992292207092"	"115"	
2	"C15H10O9"	"[M + H]+"	"C15H11O9+"	"Shikimates and Phenylpropanoids"	0.984	"Phenolic acids (C6-C1)"	0.805	"Gallotannins"	0.683	"Phenylpropanoids and polyketides"	0.875	"Tannins"	0.953	"Hydrolyzable tannins"	0.973			"Hydrolyzable tannins"	0.973	"Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Anisoles; Coumarins and derivatives; Benzoic acids and derivatives; Ellagic acids and derivatives; Tannins; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Hydrolyzable tannins; Isocoumarins and derivatives; Polyols; Phenol ethers; Benzenoids; 7,8-dihydroxycoumarins; 1-benzopyrans; 2-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities"	335.040	79	1.320	"673151930000199430"	"673150991734364610"	"102"	
1	"C8H13NO4"	"[M - H2O + H]+"	"C8H12NO3+"	"Alkaloids"	0.999	"Nicotinic acid alkaloids"	0.999	"Pyridine alkaloids"	0.999	"Organoheterocyclic compounds"	0.998	"Pyridines and derivatives"	0.979	"Pyridoxines"	0.961			"Pyridoxines"	0.961	"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Pyridoxines; Aromatic alcohols; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Hydroxypyridines; Methylpyridines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	170.081	79	1.321	"673151904943422185"	"673150992405453310"	"117"	
2	"C21H20O14"	"[M + H]+"	"C21H21O14+"	"Shikimates and Phenylpropanoids"	0.999	"Phenolic acids (C6-C1)"	0.874	"Gallotannins"	0.924	"Phenylpropanoids and polyketides"	0.959	"Tannins"	0.993	"Hydrolyzable tannins"	0.992			"Hydrolyzable tannins"	0.992	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lactones; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Coumarins and derivatives; Benzoic acids and derivatives; Ellagic acids and derivatives; Tannins; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Hydrolyzable tannins; Isocoumarins and derivatives; Oxanes; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; 7,8-dihydroxycoumarins; Hydroxycoumarins; 1-benzopyrans; 2-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	497.093	79	1.322	"673151962308928533"	"673150991788890567"	"103"	
1	"C7H11N3O3"	"[M + H3N + H]+"	"C7H15N4O3+"	"Amino acids and Peptides"	0.990	"Small peptides"	0.995	"Aminoacids"	0.969	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.993	"Amino acids and derivatives"	0.993	"Alpha amino acids"	0.542	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	203.114	79	1.322	"673151919912896416"	"673150992690666007"	"122"	
3	"C15H11N3O4"	"[M + H3N + H]+"	"C15H15N4O4+"	"Alkaloids"	0.866	"Anthranilic acid alkaloids"	0.353	"Pyrroloquinoline alkaloids"	0.477	"Benzenoids"	0.959							"Benzenoids"	0.959	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	315.108	79	1.322	"673151930784534394"	"673150992740997660"	"123"	
1	"C10H17N3O8S"	"[M - H2O + H]+"	"C10H16N3O7S+"	"Amino acids and Peptides"	0.986	"Small peptides"	0.998	"Tripeptides"	0.991	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	1.000	"Amino acids, peptides, and analogues"	0.999	"Peptides"	0.999	"Gamma-glutamyl peptides"	0.997	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Gamma-glutamyl peptides; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"	322.070	79	1.322	"673151917215958580"	"673150992803912225"	"124"	
2	"C11H19N3O8S"	"[M + H]+"	"C11H20N3O8S+"	"Amino acids and Peptides"	0.923	"Small peptides"	0.991	"Tripeptides"	0.984	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.999	"Peptides"	0.997	"Gamma-glutamyl peptides"	0.996	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Gamma-glutamyl peptides; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"	354.096	79	1.322	"673151944235668972"	"673150992862632486"	"125"	
5	"C23H15FN4O4"	"[M + H3N + H]+"	"C23H19FN5O4+"	"Alkaloids"	0.401	"Coumarins"	0.057	"Imidazole alkaloids"	0.046	"Benzenoids"	0.999	"Benzene and substituted derivatives"	0.981	"Halobenzenes"	0.945	"Fluorobenzenes"	0.949	"Fluorobenzenes"	0.949	"Organic compounds; Organoheterocyclic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	448.144	79	1.322	"673151908995121061"	"673150992912964139"	"126"	
4	"C19H24O12"	"[M + H3N + H]+"	"C19H28NO12+"	"Shikimates and Phenylpropanoids"	0.665	"Phenolic acids (C6-C1)"	0.656	"Simple phenolic acids"	0.481	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	1.000	"Carbohydrates and carbohydrate conjugates"	0.983	"Glycosyl compounds"	0.852	"Phenolic glycosides"	0.871	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; Phenoxy compounds; Chemical entities"	462.161	79	1.322	"673151923536775826"	"673150992975878704"	"127"	
1	"C41H30O28"	"[M + H]+"	"C41H31O28+"	"Shikimates and Phenylpropanoids"	0.999	"Phenolic acids (C6-C1)"	0.999	"Gallotannins"	1.000	"Phenylpropanoids and polyketides"	0.995	"Tannins"	1.000	"Hydrolyzable tannins"	0.999			"Hydrolyzable tannins"	0.999	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lactones; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Coumarins and derivatives; Benzoic acids and derivatives; Ellagic acids and derivatives; Tannins; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Hemiacetals; Carboxylic acid derivatives; Carboxylic acid esters; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Monosaccharides; Hydrolyzable tannins; Isocoumarins and derivatives; Oxanes; Benzene and substituted derivatives; Polyols; Benzenoids; Diarylethers; 7,8-dihydroxycoumarins; Hydroxycoumarins; 1-benzopyrans; 2-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	971.100	79	1.323	"673157243101276931"	"673150993030404661"	"128"	
1	"C41H28O27"	"[M - H2O + H]+"	"C41H27O26+"	"Shikimates and Phenylpropanoids"	1.000	"Phenolic acids (C6-C1)"	1.000	"Gallotannins"	1.000	"Phenylpropanoids and polyketides"	0.998	"Tannins"	1.000	"Hydrolyzable tannins"	1.000			"Hydrolyzable tannins"	1.000	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lactones; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Coumarins and derivatives; Benzoic acids and derivatives; Ellagic acids and derivatives; Tannins; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Hemiacetals; Carboxylic acid derivatives; Carboxylic acid esters; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Monosaccharides; Hydrolyzable tannins; Isocoumarins and derivatives; Oxanes; Benzene and substituted derivatives; Polyols; Benzenoids; Diarylethers; 7,8-dihydroxycoumarins; Hydroxycoumarins; Tetracarboxylic acids and derivatives; 1-benzopyrans; 2-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	935.078	79	1.323	"673152630268643233"	"673150993110096442"	"129"	
2	"C4H7NO4"	"[M + H]+"	"C4H8NO4+"	"Amino acids and Peptides"	1.000	"Small peptides"	1.000	"Aminoacids"	1.000	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	1.000	"Amino acids, peptides, and analogues"	1.000	"Amino acids and derivatives"	1.000	"Alpha amino acids"	0.976	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Aspartic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	134.045	80	1.326	"673152012611222263"	"673150993168816703"	"131"	
3	"C19H24O10"	"[M + H3N + H]+"	"C19H28NO10+"	"Shikimates and Phenylpropanoids"	0.738	"Phenolic acids (C6-C1)"	0.331	"Simple phenolic acids"	0.236	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	1.000	"Carbohydrates and carbohydrate conjugates"	0.949	"Monosaccharides"	0.900	"Hexoses"	0.588	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	430.171	80	1.337	"673152002351953403"	"673150993219148356"	"132"	
1	"C4H6N2O3"	"[M - H2O + H]+"	"C4H5N2O2+"	"Alkaloids"	0.115	"Nucleosides"	0.063	"Pyrimidine nucleosides"	0.256	"Organoheterocyclic compounds"	0.972	"Diazines"	0.952	"Pyrimidines and pyrimidine derivatives"	0.965	"Pyrimidones"	0.962	"Pyrimidones"	0.962	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Lactams; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Ureas; Diazines; Hydropyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	113.034	80	1.339	"673151982869408880"	"673150993533721181"	"138"	
1	"C11H24N3O3P"	"[M + Na]+"	"C11H24N3NaO3P+"	"Terpenoids"	0.210	"Small peptides"	0.144	"Polyamines"	0.108	"Organic nitrogen compounds"	0.996	"Organonitrogen compounds"	0.976	"Amines"	0.723	"Primary amines"	0.757	"Monoalkylamines"	0.670	"Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Monoalkylamines; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	300.144	81	1.343	"673151954171977630"	"673150993584052834"	"139"	
3	"C15H23N3O10S"	"[M - H2O + H]+"	"C15H22N3O9S+"	"Amino acids and Peptides"	0.508	"Small peptides"	0.690	"Tripeptides"	0.253	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.998	"Amino acids, peptides, and analogues"	0.997	"Peptides"	0.977	"Gamma-glutamyl peptides"	0.906	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Gamma-glutamyl peptides; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"	420.107	81	1.345	"673151965941196400"	"673150993630190183"	"140"	
1	"C13H16O10"	"[M + Na]+"	"C13H16NaO10+"	"Shikimates and Phenylpropanoids"	0.641	"Phenolic acids (C6-C1)"	0.389	"Acyl phloroglucinols"	0.280	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	1.000	"Carbohydrates and carbohydrate conjugates"	0.893	"Glycosyl compounds"	0.618	"O-glycosyl compounds"	0.596	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	355.064	82	1.367	"673152008878291347"	"673150994242558622"	"156"	
1	"C11H12O9"	"[M + H]+"	"C11H13O9+"	"Carbohydrates"	0.800	"Saccharides"	0.867	"Monosaccharides"	0.736	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	1.000	"Carbohydrates and carbohydrate conjugates"	0.727	"Sugar acids and derivatives"	0.796	"Glucuronic acid derivatives"	0.786	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	289.055	83	1.379	"673151991677448111"	"673150993730853484"	"144"	
1	"C6H8O7"	"[M - H2O + H]+"	"C6H7O6+"	"Fatty acids"	0.890	"Fatty Acids and Conjugates"	0.941	"Dicarboxylic acids"	0.784	"Organic acids and derivatives"	0.999	"Hydroxy acids and derivatives"	0.657	"Alpha hydroxy acids and derivatives"	0.543			"Alpha hydroxy acids and derivatives"	0.543	"Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Carboxylic acids; Alpha hydroxy acids and derivatives; Tertiary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	175.024	84	1.403	"673151956583702747"	"673150993873459835"	"149"	
1	"C6H8O7"	"[M + Na]+"	"C6H8NaO7+"	"Fatty acids"	0.922	"Fatty Acids and Conjugates"	0.954	"Dicarboxylic acids"	0.899	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.998	"Dicarboxylic acids and derivatives"	0.515			"Dicarboxylic acids and derivatives"	0.515	"Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	215.016	84	1.405	"673151970521376712"	"673150993915402880"	"150"	
1	"C11H15N5O6"	"[M - H2O + H]+"	"C11H14N5O5+"	"Carbohydrates"	0.999	"Nucleosides"	0.999	"Purine nucleosides"	0.999	"Nucleosides, nucleotides, and analogues"	0.926	"Purine nucleosides"	0.786					"Purine nucleosides"	0.786	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Azoles; Purine nucleosides; Monocarboxylic acids and derivatives; Carboxylic acids; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Polyols; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 1,2-diols; Tetrahydrofurans; 6-aminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; 5'-deoxyribonucleosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	296.099	84	1.406	"673151993829126426"	"673150993965734533"	"151"	
1	"C6H4O5"	"[M - H2O + H]+"	"C6H3O4+"	"Fatty acids"	0.985	"Fatty Acids and Conjugates"	0.979	"Dicarboxylic acids"	0.911	"Organic acids and derivatives"	0.999	"Keto acids and derivatives"	0.782	"Alpha-keto acids and derivatives"	0.611			"Alpha-keto acids and derivatives"	0.611	"Organic compounds; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Keto acids and derivatives; Alpha-keto acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	139.003	84	1.407	"673151998946178066"	"673150993818933878"	"147"	
1	"C5H6O5"	"[M - H2O + H]+"	"C5H5O4+"	"Fatty acids"	0.988	"Fatty Acids and Conjugates"	0.986	"Dicarboxylic acids"	0.903	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.998	"Dicarboxylic acids and derivatives"	0.622			"Dicarboxylic acids and derivatives"	0.622	"Organic compounds; Lipids and lipid-like molecules; Ketones; 1,3-dicarbonyl compounds; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Keto acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	129.018	85	1.410	"673151961579119521"	"673150994011871882"	"152"	
1	"C10H13NO11S"	"[M + K]+"	"C10H13KNO11S+"	"Amino acids and Peptides"	0.880	"Amino acid glycosides"	0.333	"Aminoacids"	0.107	"Organic acids and derivatives"	0.998	"Organic sulfuric acids and derivatives"	0.501					"Organic sulfuric acids and derivatives"	0.501	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Sulfonyls; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	393.983	85	1.410	"673152011227101752"	"673150994062203535"	"153"	
